gate_error,meas_error,class_error,Q_total
0.001,0.001,0.0,0.0015
0.001,0.001,0.005,0.0084
0.001,0.001,0.01,0.0114
0.001,0.001,0.015,0.017
0.001,0.001,0.02,0.0204
0.001,0.0064444444444444445,0.0,0.0068
0.001,0.0064444444444444445,0.005,0.0115
0.001,0.0064444444444444445,0.01,0.0148
0.001,0.0064444444444444445,0.015,0.0225
0.001,0.0064444444444444445,0.02,0.0284
0.001,0.01188888888888889,0.0,0.0131
0.001,0.01188888888888889,0.005,0.0186
0.001,0.01188888888888889,0.01,0.0249
0.001,0.01188888888888889,0.015,0.0277
0.001,0.01188888888888889,0.02,0.0334
0.001,0.017333333333333333,0.0,0.0223
0.001,0.017333333333333333,0.005,0.0233
0.001,0.017333333333333333,0.01,0.0297
0.001,0.017333333333333333,0.015,0.0315
0.001,0.017333333333333333,0.02,0.037
0.001,0.02277777777777778,0.0,0.0225
0.001,0.02277777777777778,0.005,0.0293
0.001,0.02277777777777778,0.01,0.0331
0.001,0.02277777777777778,0.015,0.0389
0.001,0.02277777777777778,0.02,0.0458
0.001,0.028222222222222225,0.0,0.0279
0.001,0.028222222222222225,0.005,0.0329
0.001,0.028222222222222225,0.01,0.0381
0.001,0.028222222222222225,0.015,0.0454
0.001,0.028222222222222225,0.02,0.0492
0.001,0.033666666666666664,0.0,0.0346
0.001,0.033666666666666664,0.005,0.038
0.001,0.033666666666666664,0.01,0.0428
0.001,0.033666666666666664,0.015,0.0455
0.001,0.033666666666666664,0.02,0.0544
0.001,0.03911111111111111,0.0,0.0434
0.001,0.03911111111111111,0.005,0.0441
0.001,0.03911111111111111,0.01,0.0459
0.001,0.03911111111111111,0.015,0.0527
0.001,0.03911111111111111,0.02,0.0571
0.001,0.04455555555555556,0.0,0.0473
0.001,0.04455555555555556,0.005,0.0479
0.001,0.04455555555555556,0.01,0.0538
0.001,0.04455555555555556,0.015,0.0574
0.001,0.04455555555555556,0.02,0.0639
0.001,0.05,0.0,0.0495
0.001,0.05,0.005,0.0535
0.001,0.05,0.01,0.0637
0.001,0.05,0.015,0.0614
0.001,0.05,0.02,0.066
0.0064444444444444445,0.001,0.0,0.0065
0.0064444444444444445,0.001,0.005,0.0109
0.0064444444444444445,0.001,0.01,0.0184
0.0064444444444444445,0.001,0.015,0.0205
0.0064444444444444445,0.001,0.02,0.0284
0.0064444444444444445,0.0064444444444444445,0.0,0.0136
0.0064444444444444445,0.0064444444444444445,0.005,0.0195
0.0064444444444444445,0.0064444444444444445,0.01,0.0231
0.0064444444444444445,0.0064444444444444445,0.015,0.0271
0.0064444444444444445,0.0064444444444444445,0.02,0.0324
0.0064444444444444445,0.01188888888888889,0.0,0.0192
0.0064444444444444445,0.01188888888888889,0.005,0.0237
0.0064444444444444445,0.01188888888888889,0.01,0.0256
0.0064444444444444445,0.01188888888888889,0.015,0.0347
0.0064444444444444445,0.01188888888888889,0.02,0.0381
0.0064444444444444445,0.017333333333333333,0.0,0.0239
0.0064444444444444445,0.017333333333333333,0.005,0.0256
0.0064444444444444445,0.017333333333333333,0.01,0.0334
0.0064444444444444445,0.017333333333333333,0.015,0.0376
0.0064444444444444445,0.017333333333333333,0.02,0.0456
0.0064444444444444445,0.02277777777777778,0.0,0.0279
0.0064444444444444445,0.02277777777777778,0.005,0.0359
0.0064444444444444445,0.02277777777777778,0.01,0.0397
0.0064444444444444445,0.02277777777777778,0.015,0.0455
0.0064444444444444445,0.02277777777777778,0.02,0.0501
0.0064444444444444445,0.028222222222222225,0.0,0.0342
0.0064444444444444445,0.028222222222222225,0.005,0.0367
0.0064444444444444445,0.028222222222222225,0.01,0.0471
0.0064444444444444445,0.028222222222222225,0.015,0.0475
0.0064444444444444445,0.028222222222222225,0.02,0.0516
0.0064444444444444445,0.033666666666666664,0.0,0.0414
0.0064444444444444445,0.033666666666666664,0.005,0.0427
0.0064444444444444445,0.033666666666666664,0.01,0.0493
0.0064444444444444445,0.033666666666666664,0.015,0.053
0.0064444444444444445,0.033666666666666664,0.02,0.0604
0.0064444444444444445,0.03911111111111111,0.0,0.0469
0.0064444444444444445,0.03911111111111111,0.005,0.0495
